"Panelgesprek ICT";"2011-09-06";;"Outfort";"Hoboken";"Belgium";"http://www.outfort.com/";"Panelgesprek ICT";
"Cloud hosting anno 2011";"2011-09-20";"http://www.slideshare.net/combell/cloud-hosting-anno-2011";"Combell";"Gent";"Belgium";"http://www.combell.com";"Cloud Computing Conference";"http://www.combell.com/nl/academy/2011-09-20-cloud-computing-conference"
"CLI, the other SAPI";"2011-10-28";"http://www.slideshare.net/combell/cli-the-other-sapi-pbc11";"Citilab";"Barcelona";"Spain";"http://www.citilab.eu/";"PHPBarcelona Conference";"http://www.phpconference.es"
"The Internet has gone Cloud";"2011-10-04";"http://www.slideshare.net/combell/the-internet-has-gone-cloud-fot11";"Arteveldehogeschool";"Gent";"Belgium";"http://www.arteveldehs.be";"FeWeb On Tour";"http://www.fewebontour.be/"
"The Internet has gone Cloud";"2011-10-12";"http://www.slideshare.net/combell/the-internet-has-gone-cloud-fot11";"Eramushogeschool";"Brussel";"Belgium";"http://www.erasmushogeschool.be/";"FeWeb On Tour";"http://www.fewebontour.be"
"The Internet has gone Cloud";"2011-10-25";"http://www.slideshare.net/combell/the-internet-has-gone-cloud-fot11";"Provinciale Hogeschool Limburg";"Hasselt";"Belgium";"http://www.phl.be/";"FeWeb On Tour";"http://www.fewebontour.be"
"Keeping The Cloud In Check";"2011-11-18";"http://www.slideshare.net/combell/keeping-the-cloud-in-check-katho";"KATHO campus VHTI";"Kortrijk";"Belgium";"http://www.katho.be/vhti";"Guest lecture";"http://www.katho.be/vhti"
"Keeping The Cloud In Check";"2012-04-25";"http://www.slideshare.net/combell/keeping-the-cloud-in-check-cvodmd";"CVO Leerstad";"Dendermonde";"Belgium";"http://leerstad.be/";"Guest lecture";"http://leerstad.be/"
"Van hosting tot cloud computing";"2011-11-10";"http://www.slideshare.net/combell/hosting-tot-cloud-syntra-west-10239685";"Syntra West";"Roeselare";"Belgium";"http://www.syntrawest.be/";"Guest lecture";"http://www.syntrawest.be/"
"Professional PHP";"2008-11-19";"http://www.slideshare.net/combell/professional-php-an-opensource-alternative-for-enterprise-development-presentation-719076";"KATHO campus VHTI";"Kortrijk";"Belgium";"http://www.katho.be/vhti";"Guest lecture";"http://www.katho.be/vhti"
"Professional PHP";"2008-11-28";"http://www.slideshare.net/combell/professional-php-an-opensource-alternative-for-enterprise-development-presentation-809322";"KDG Hogeschool";"Antwerpen";"Belgium";"http://www.kdg.be/";"Guest lecture";"http://www.kdg.be/"
"Hosting, startup tot enterprise";"2009-04-02";"http://www.slideshare.net/combell/hosting-startup-tot-enterprise";"Syntra West";"Brugge";"Belgium";"http://www.syntrawest.be";"Guest lecture";"http://www.syntrawest.be/"
"CLI, the other SAPI";"2009-04-22";"http://www.slideshare.net/combell/cli-the-other-sapi";"Combell";"Gent";"Belgium";"http://www.combell.com";"PHPBenelux UG meeting";"http://www.phpbenelux.eu"
"CLI, the other SAPI";"2009-05-30";"http://www.slideshare.net/combell/cli-the-other-sapi";"Café Sport";"Leuven";"Belgium";;"PHPVikinger unconference";"http://phpvikinger.org/"
"The evolution of a scalable web application";"2009-11-20";;"KATHO campus VHTI";"Kortrijk";"Belgium";"http://www.katho.be/vhti";"Guest lecture";
"The evolution of a scalable web application";"2009-11-24";;"Hogeschool Gent";"Gent";"Belgium";"http://binf.hogent.be/";"Guest lecture";
"Hosting, startup tot enterprise";"2009-12-03";"http://www.slideshare.net/combell/hosting-startup-tot-enterprise";"Syntra West";"Kortrijk";"Belgium";"http://www.syntrawest.be";"Guest lecture";"http://www.syntrawest.be"
"Word zelf hostingprovider";"2010-02-02";"http://www.slideshare.net/combell/wordhoster";"Combell";"Gent";"Belgium";;"Combell Academy";"http://www.combell.com/nl/academy"
"Word zelf hostingprovider";"2010-03-23";"http://www.slideshare.net/combell/wordhoster";"Combell";"Gent";"Belgium";;"Combell Academy";"http://www.combell.com/nl/academy"
"PHP through the eyes of a hoster";"2010-04-28";;"Combell";"Gent";"Belgium";"http://www.combell.com";"PHPBenelux UG meeting";"http://phpbenelux.eu/en/2010-meeting-ghent"
"PHP through the eyes of a hoster";"2010-06-11";"http://www.slideshare.net/combell/php-through-the-eyes-of-a-hoster-5375821";"RAI";"Amsterdam";"The Netherlands";"http://www.rai.nl";"Dutch PHP Conference";"http://www.phpconference.nl/"
"Uw eigen webshop, hoe begint u daaraan?";"2010-10-04";"http://www.slideshare.net/combell/unizo-ict-coach-event-uw-eigen-webshop";"Bijloke";"Gent";"Belgium";;"Unizo ICT coach";"http://www.ictevent.be"
"Uw eigen webshop, hoe begint u daaraan?";"2010-10-11";"http://www.slideshare.net/combell/unizo-ict-coach-event-uw-eigen-webshop";"De Vesten";"Laakdal";"Belgium";;"Unizo ICT event";"http://www.ictevent.be"
"Word zelf hostingprovider";"2010-10-05";"http://www.slideshare.net/combell/wordhoster";"Combell";"Gent";"Belgium";;"Combell Academy";"http://www.combell.com/nl/academy"
"PHP through the eyes of a hoster";"2010-10-10";"http://www.slideshare.net/combell/php-through-the-eyes-of-a-hoster-phpnw10";"MOSI";"Manchester";"United Kingdom";"http://www.mosi.org.uk/";"PHP North West";"http://conference.phpnw.org.uk/phpnw10/"
"Lost In The Cloud: cloud computing, hope or hype?";"2010-10-28";"http://www.slideshare.net/combell/lost-in-the-cloud-cloud-computing-hope-or-hype-dmf10";"Tour & Taxis";"Brussel";"Belgium";"http://www.tourtaxis.com/";"Digital Marketing First";"http://www.marketingfirst.be"
"Varnish In Action";"2010-10-29";"http://www.slideshare.net/combell/varnish-in-action-pbc10";"Citilab";"Barcelona";"Spain";;"PHPBarcelona Conference";"http://phpconference.es/"
"PHP through the eyes of a hoster";"2010-10-30";"http://www.slideshare.net/combell/php-through-the-eyes-of-a-hoster-pbc10";"Citilab";"Barcelona";"Spain";"http://www.citilab.eu";"PHPBarcelona Conference";"http://www.phpconference.es"
"Van hosting tot cloud computing";"2010-11-09";"http://www.slideshare.net/combell/van-hosting-tot-cloud-computing-intac";"Archipel Business Cente";"Gent";"Belgium";;"INTAC";"http://www.intac.be/"
"Code & Infrastructure: bridging the gap";"2010-12-09";"http://www.slideshare.net/combell/bridging-the-gap-feweb10";"Ter Elst";"Edegem";"Belgium";"http://www.terelst.be/";"FeWeb10";"http://www.feweb.be/activiteit/feweb10-8e-jaarcongres-van-feweb"
"Lost In The Cloud: cloud computing, hope or hype?";"2010-11-19";"http://www.slideshare.net/combell/lost-in-the-cloud-cloud-computing-hope-or-hype-katho";"KATHO campus VHTI";"Kortrijk";"Belgium";"http://www.katho.be/vhti";"Guest lecture";"http://www.katho.be/vhti"
"Van hosting tot cloud computing";"2010-12-02";"http://www.slideshare.net/combell/hosting-tot-cloud-syntra-west";"Syntra West";"Roeselare";"Belgium";"http://www.syntrawest.be";"Guest lecture";"http://www.syntrawest.be"
"Varnish In Action";"2011-02-25";"http://www.slideshare.net/combell/varnish-in-action-phpuk11";"Business Design Centre";"London";"United Kingdom";"http://www.businessdesigncentre.co.uk/";"PHP UK Conference";"http://phpconference.co.uk/"
"Scaling in the Cloud";"2011-02-17";"http://www.slideshare.net/combell/scaling-in-the-cloud-mswebcafe";"Combell";"Gent";"Belgium";"http://www.combell.com";"Microsoft Webcafe";"http://msdn.microsoft.com/nl-be/gg412720"
"Varnish In Action";"2011-03-11";"http://www.slideshare.net/combell/varnish-in-action-confoo11";"Hilton Montreal Bonaventure";"Montreal";"Canada";"http://www1.hilton.com/en_US/hi/hotel/YULBHHF-Hilton-Montreal-Bonaventure-Quebec/index.do";"Confoo";"http://www.confoo.ca"
"CLI, The Other SAPI";"2011-03-10";"http://www.slideshare.net/combell/cli-the-other-sapi-confoo11";"Hilton Montreal Bonaventure";"Montreal";"Canada";"http://www1.hilton.com/en_US/hi/hotel/YULBHHF-Hilton-Montreal-Bonaventure-Quebec/index.do";"Confoo";"http://www.confoo.ca"
"Managing a shared MySQL farm";"2011-05-21";"http://www.slideshare.net/combell/managing-a-shared-mysql-farm-dpc11";"RAI";"Amsterdam";"The Netherlands";"http://www.rai.nl";"Dutch PHP Conference";"http://www.phpconference.nl"
"PHP through the eyes of a hoster";"2011-01-29";"http://www.slideshare.net/combell/php-through-the-eyes-of-a-hoster-phpbnl11";"Ter Elst";"Edegem";"Belgium";"http://www.terelst.be";"PHPBenelux Conference";"http://conference.phpbenelux.eu/2011"
"Lost In The Cloud: cloud computing, hope or hype? (Business edition)";"2011-03-14";"http://www.slideshare.net/combell/lost-in-the-cloud-unizo";"Ondernemersbar";"Kortrijk";"Belgium";;"SaaS en Cloud Computing event Unizo";"http://www.unizo.be/ict-coach/index.jsp?cat=1324"
"Managing a shared MySQL farm";"2011-05-13";"http://www.slideshare.net/combell/managing-a-sharedmysqlfarmphpday2011";"San Marco Hotel";"Verona";"Italy";"http://www.sanmarco.vr.it/";"phpDay";"http://www.phpday.it/2011/news"
"Varnish In Action";"2011-05-13";"http://www.slideshare.net/combell/varnish-in-action-phpday2011";"San Marco Hotel";"Verona";"Italy";"http://www.sanmarco.vr.it/";"phpDay";"http://www.phpday.it/2011/news"
"Lost In The Cloud: cloud computing, hope or hype?";"2011-09-17";"http://www.slideshare.net/combell/cloud-hope-or-hype-pfc11";"Cursus- en vergadercentrum Domstad";"Utrecht";"The Netherlands";"http://www.accommodatiedomstad.nl/";"PFCongres";"http://www.pfcongres.nl/"
"Lost In The Cloud: cloud computing, hope or hype?";"2011-05-02";;"KdG Hogeschool";"Antwerpen";"Belgium";"http://www.kdg.be";"SaaS & Cloud computing voor studenten";
"Varnish In Action";"2011-04-17";;"Don Bosco werken én leren";"Wilrijk";"Belgium";"http://site.cdowilrijk.be/";"LoaDays";"http://www.loadays.org"
"CLI, The Other SAPI";"2011-10-08";"http://www.slideshare.net/combell/cli-the-other-sapi-phpnw11";"Ramada Manchester Piccadilly";"Manchester";"United Kingdom";"http://www.ramadajarvis.co.uk/hotels/manchester.aspx";"PHP North West";"http://conference.phpnw.org.uk/phpnw11"
"Combell community strategy";"2011-06-29";;"Combell";"Gent";"Belgium";"http://www.combell.com";"Adobe User Group summer BBQ";"http://www.adobeusergroup.be/events/aug-summer-bbq"
"Keeping The Cloud in Check";"2011-12-05";;"K.U.Leuven KULAK";"Kortrijk";"Belgium";"http://www.kuleuven-kortrijk.be/";"Postacademische Vorming";"http://pav.kuleuven-kortrijk.be/"
"Cloud Computing: de slimme & groene technologie voor uw bedrijf";"2011-11-29";;"Bedrijvencentrum Vlaamse Ardennen";"Oudenaarde";"Belgium";"http://www.bcvlar.be";"Ontbijtsessie Cloud Computing";"http://www.unizo.be/kmocontact/viewobj.jsp?id=4800987"
"Combell Cloud Cases";"2011-11-21";;"IBBT";"Gent";"Belgium";"http://www.ibbt.be";"CloudCamp";"http://cloudcamp.org/ghent"
"11 tips om in de Cloud te geraken en er niet uit te vallen";"2011-12-07";"http://www.slideshare.net/combell/11-tips-om-in-de-cloud-te-raken-en-er-niet-uit-te-vallen";"Ter Elst";"Edegem";"Belgium";"http://www.terelst.be";"FeWeb11";"http://www.feweb.be/sites/default/files/f11/index.html"
